title,desc,location,date,imageurl,cluster,tags,rate
Life Long Work,,Kolkata,,images/photographs/single/cobbler-kolkata.jpg,singles,bw,
Christmas Candles,,Kolkata,,images/photographs/stories/christmaspast/christmas-candles.jpg,christmaspast,color,
Christ,,Kolkata,,images/photographs/stories/christmaspast/jesus-christ.jpg,christmaspast,bw,
Midnight Mass,,Kolkata,,images/photographs/stories/christmaspast/midnight-mass.jpg,christmaspast,color,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/st-johns.jpg,christmaspast,bw,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/stjohns-angel.jpg,christmaspast,bw,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/stjohns-church.jpg,christmaspast,bw,
St. Johns,,Kolkata,,images/photographs/stories/christmaspast/stjohns-statue.jpg,christmaspast,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_1.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_2.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_4.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_7.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_8.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_10.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_11.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_12.jpg,dhunuchi,bw,star
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_13.jpg,dhunuchi,bw,
Dhunuchi Nach,,Kolkata,,images/photographs/stories/dhunuchi/dhunuchi_14.jpg,dhunuchi,bw,
Coffee House,,Kolkata,,images/photographs/stories/food/coffee-house.jpg,foodandtravel,bw,
Breakfast@Flurys,,Kolkata,,images/photographs/stories/food/flurys-breakfast.jpg,foodandtravel,color,
Mocktail,,Kolkata,,images/photographs/stories/food/mocktail.jpg,foodandtravel,color,
Oriental Salad,,Kolkata,,images/photographs/stories/food/oriental-salads.jpg,foodandtravel,color,
Prawn Martini,,Kolkata,,images/photographs/stories/food/prawn-martini.jpg,foodandtravel,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_1.jpg,limcastudio,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_3.jpg,limcastudio,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_4.jpg,limcastudio,color,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_5.jpg,limcastudio,bw,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_6.jpg,limcastudio,bw,star
VAT,,Kolkata,,images/photographs/stories/nesha/arijit-party.jpg,nesha,color,
Tasher Desh,,Kolkata,,images/photographs/stories/nesha/ayash-cards.jpg,nesha,bw,
Injurious,,Kolkata,,images/photographs/stories/nesha/ayash-smoke.jpg,nesha,bw,star
Orkos,,Kolkata,,images/photographs/stories/nesha/beer-orkos.jpg,nesha,bw,
Injurious,,Kolkata,,images/photographs/stories/nesha/priyanshu-smoke.jpg,nesha,bw,
Injurious,,Kolkata,,images/photographs/stories/nesha/shaun-morning.jpg,nesha,bw,
Morning,,Kolkata,,images/photographs/stories/nesha/ujani-sleep.jpg,nesha,bw,star
Tasher Desh,,Kolkata,,images/photographs/stories/nesha/cards.jpg,nesha,bw,
Peekaboo,,Chuikhim,,images/photographs/stories/outreach/chuikhim-bikas.jpg,outreach,bw,
Bindya,,Chuikhim,,images/photographs/stories/outreach/chuikhim-bindya.jpg,outreach,color,
Chuikhim,,Chuikhim,,images/photographs/stories/outreach/chuikhim-kids.jpg,outreach,color,
Parade,,Chuikhim,,images/photographs/stories/outreach/chuikhim-parade.jpg,outreach,color,
Playtime,,Gorchumuk,,images/photographs/stories/outreach/gorchumuk-kids.jpg,outreach,bw,
Chuti,,Maryada,,images/photographs/stories/outreach/chuti.jpg,outreach,bw,
Eyes,,Maryada,,images/photographs/stories/outreach/hotor-family.jpg,outreach,bw,star
Hotor Girl,,Maryada,,images/photographs/stories/outreach/hotor-girl.jpg,outreach,bw,
Thakuma,,Maryada,,images/photographs/stories/outreach/hotor-thakuma.jpg,outreach,bw,
Ellow,,Kolkata,,images/photographs/stories/outreach/jspk-shoes.jpg,outreach,color,
Now you see me,,Kolkata,,images/photographs/stories/outreach/rainbow-girls.jpg,outreach,bw,star
Dreams,,Kolkata,,images/photographs/stories/outreach/shishumon-boy.jpg,outreach,color,
Kid,,Kolkata,,images/photographs/stories/outreach/shishumon-kid.jpg,outreach,color,
Kid,,Kolkata,,images/photographs/stories/outreach/shisumon-girl.jpg,outreach,bw,
Drives,,Kolkata,,images/photographs/stories/rides/car-bud.jpg,foodandtravel,bw,
Drives,,Kolkata,,images/photographs/stories/rides/cars-music.jpg,foodandtravel,bw,
Drives,,Kolkata,,images/photographs/stories/rides/heineken-car.jpg,foodandtravel,bw,
Drives,,Kolkata,,images/photographs/stories/rides/heineken-pizza.jpg,foodandtravel,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_1.jpg,durgapujo,bw,star
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_2.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_4.jpg,durgapujo,color,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_5.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_6.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_7.jpg,durgapujo,bw,
Durga Pujo,,Kolkata,,images/photographs/stories/durgapujo/pujo_8.jpg,durgapujo,bw,
A Peg of Memories,,Kolkata,,images/photographs/stories/nesha/bbs-wine.jpg,nesha,bw,
Inside,,Kolkata,,images/photographs/stories/nesha/sandy_bhasan.jpg,nesha,color,
Undefeated,,Kolkata,,images/photographs/stories/outreach/undefeated.jpg,outreach,bw,
Blackboard,,Kolkata,,images/photographs/stories/outreach/blackboard-classroom.jpg,outreach,bw,
Playful,,Kolkata,,images/photographs/stories/outreach/jspk-game.jpg,outreach,bw,
Sandhi Pujo,,Kolkata,,images/photographs/stories/durgapujo/sandhipujo.jpg,durgapujo,bw,
Goddess of the City,,Kolkata,,images/photographs/stories/durgapujo/goddess-kolkata.jpg,durgapujo,bw,
Travellers of Time,,Kolkata,,images/photographs/single/freedom-stjohns.jpg,singles,bw,
Friends,,Kolkata,,images/photographs/single/friends-morning.jpg,singles,bw,
Bylanes,,Kolkata,,images/photographs/single/hotor-bylanes.jpg,singles,bw,
Midnight Mass,,Kolkata,,images/photographs/stories/christmaspast/midnightmass-candles.jpg,christmaspast,color,
Midnight Mass,,Kolkata,,images/photographs/stories/christmaspast/mass-wine.jpg,christmaspast,color,
St. Pauls Cathedral,,Kolkata,,images/photographs/stories/christmaspast/st-pauls.jpg,christmaspast,color,
Kumortuli,,Kolkata,,images/photographs/stories/durgapujo/kumortuli-1.jpg,durgapujo,bw,
Kumortuli,,Kolkata,,images/photographs/stories/durgapujo/kumortuli-2.jpg,durgapujo,bw,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_7.jpg,limcastudio,bw,
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_8.jpg,limcastudio,bw,star
Limca Studio,,Kolkata,,images/photographs/stories/limcastudio/studio_9.jpg,limcastudio,bw,
HDCL Talhunt,,Kolkata,,images/photographs/stories/outreach/hdcl-talhunt.jpg,outreach,color,
Windows,,Kolkata,,images/photographs/stories/outreach/shishumon-window.jpg,outreach,bw,
Bylanes,,Kolkata,,images/photographs/single/bookseller.jpg,singles,bw,
Bylanes,,Kolkata,,images/photographs/single/doors-krishnanagar.jpg,singles,bw,
Bylanes,,Kolkata,,images/photographs/single/gully-cricket.jpg,singles,bw,
Bylanes,,Kolkata,,images/photographs/single/urban-sadhu.jpg,singles,color,
Kuala Lumpur,,Kuala Lumpur,,images/photographs/stories/rides/kualalumpur-lounge.jpg,foodandtravel,bw,
Kuala Lumpur,,Kuala Lumpur,,images/photographs/stories/rides/kualumpur-airport.jpg,foodandtravel,bw,
Sandhi Pujo,,Kolkata,,images/photographs/stories/durgapujo2017/pujo_2017_1.jpg,durgapujo,bw,star
Carousal,,Kolkata,,images/photographs/stories/durgapujo2017/pujo_2017_2.jpg,durgapujo,bw,star
Sandhi Pujo,,Kolkata,,images/photographs/stories/durgapujo2017/pujo_2017_3.jpg,durgapujo,bw,star
Dhunuchi Nach,,Kolkata,,images/photographs/stories/durgapujo2017/pujo_2017_4.jpg,durgapujo,bw,star
Dhunuchi Nach,,Kolkata,,images/photographs/stories/durgapujo2017/pujo_2017_5.jpg,durgapujo,bw,star
Dhunuchi Nach,,Kolkata,,images/photographs/stories/durgapujo2017/pujo_2017_6.jpg,durgapujo,bw,star
Thikshey Gompa,Thikshey Gompa,Ladakh,,images/photographs/stories/ladakhdiaries/1.jpg,ladakh,,
Manali,,Ladakh,,images/photographs/stories/ladakhdiaries/2.jpg,ladakh,,
Rainy Day Tea,Black Ginger Tea had become a habit.,Ladakh,,images/photographs/stories/ladakhdiaries/3.jpg,ladakh,,
Vashisht,From our Manali AirBnb,Ladakh,,images/photographs/stories/ladakhdiaries/4.jpg,ladakh,,
Fried Trout,Fried Trout in Vashisht,Ladakh,,images/photographs/stories/ladakhdiaries/5.jpg,ladakh,,
When the clouds gathered.,It wasn’t foggy… it was cloudy,Ladakh,,images/photographs/stories/ladakhdiaries/6.jpg,ladakh,bw,
,,Ladakh,,images/photographs/stories/ladakhdiaries/7.jpg,ladakh,bw,
Manali at Night,,Ladakh,,images/photographs/stories/ladakhdiaries/8.jpg,ladakh,,
Enroute to Rohtang,On our way to Rohtang Pass,Ladakh,,images/photographs/stories/ladakhdiaries/9.jpg,ladakh,,
Chamba Dhaba,Our breakfast stop.,Ladakh,,images/photographs/stories/ladakhdiaries/10.jpg,ladakh,,
The Team,,Ladakh,,images/photographs/stories/ladakhdiaries/11.jpg,ladakh,,
Rohtang Pass (3978m),,Ladakh,,images/photographs/stories/ladakhdiaries/12.jpg,ladakh,,
Rohtang Pass,,Ladakh,,images/photographs/stories/ladakhdiaries/13.jpg,ladakh,,
Keylong,,Ladakh,,images/photographs/stories/ladakhdiaries/14.jpg,ladakh,,
Hotel Chandrabhaga,The only tourism hotel we opted for during the trip.,Ladakh,,images/photographs/stories/ladakhdiaries/15.jpg,ladakh,,
Deepak Tal,,Ladakh,,images/photographs/stories/ladakhdiaries/16.jpg,ladakh,,
Baralacha La (4893m),"Baralacha La is the pass with cross roads from Spiti, Ladakh, Zanskar and Lahaul.",Ladakh,,images/photographs/stories/ladakhdiaries/17.jpg,ladakh,,
Hairpin Turns enroute to Baralacha La.,,Ladakh,,images/photographs/stories/ladakhdiaries/18.jpg,ladakh,,
Baralacha La,,Ladakh,,images/photographs/stories/ladakhdiaries/19.jpg,ladakh,,
Namik La,,Ladakh,,images/photographs/stories/ladakhdiaries/20.jpg,ladakh,,
Leh-Manali Highway,,Ladakh,,images/photographs/stories/ladakhdiaries/21.jpg,ladakh,,
Travellers,Somewhere near Meero,Ladakh,,images/photographs/stories/ladakhdiaries/22.jpg,ladakh,,
Thukpa at Leh,,Ladakh,,images/photographs/stories/ladakhdiaries/23.jpg,ladakh,,
Shapta ,,Ladakh,,images/photographs/stories/ladakhdiaries/24.jpg,ladakh,,
Shanti Stupa,,Ladakh,,images/photographs/stories/ladakhdiaries/25.jpg,ladakh,,
Leh City,The city of Leh from Shanti Stupa,Ladakh,,images/photographs/stories/ladakhdiaries/26.jpg,ladakh,,
